"FileName","TotalRowsInFile","VariableName","VariableLabel","DataType","ValueLabels"
"GovernanceSurvey.sav",100,"Q23_12_TEXT","If you had a concern
about a rule at your child’s school, who would you approach to discuss the
issue? (check all that apply). - Other:  - Text","character",""
"GovernanceSurvey.sav",100,"Q24_1","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q24_4","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice Another teacher","haven_labelled","1=Another teacher"
"GovernanceSurvey.sav",100,"Q24_5","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice The school secretary","haven_labelled","1=The school secretary"
"GovernanceSurvey.sav",100,"Q24_6","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q24_7","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q24_8","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q24_9","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
"GovernanceSurvey.sav",100,"Q24_10","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
"GovernanceSurvey.sav",100,"Q24_11","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q24_12","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Selected Choice Other:","haven_labelled","1=Other:"
"GovernanceSurvey.sav",100,"Q24_12_TEXT","If you had a concern that your child might have special needs, who
would you approach to discuss the issue? (check all that apply). - Other: - Text","character",""
"GovernanceSurvey.sav",100,"Q25_1","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q25_4","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice Another teacher","haven_labelled","1=Another teacher"
"GovernanceSurvey.sav",100,"Q25_5","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice The school secretary","haven_labelled","1=The school secretary"
"GovernanceSurvey.sav",100,"Q25_6","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q25_7","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q25_8","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q25_9","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
"GovernanceSurvey.sav",100,"Q25_10","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
"GovernanceSurvey.sav",100,"Q25_11","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q25_12","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Selected Choice Other:","haven_labelled","1=Other:"
"GovernanceSurvey.sav",100,"Q25_12_TEXT","If you had a concern
about access to technology at your local school, who would you approach to
discuss the issue? (check all that apply). - Other: - Text","character",""
"GovernanceSurvey.sav",100,"Q26_1","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q26_4","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice Another teacher","haven_labelled","1=Another teacher"
"GovernanceSurvey.sav",100,"Q26_5","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice The school secretary","haven_labelled","1=The school secretary"
"GovernanceSurvey.sav",100,"Q26_6","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q26_7","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q26_8","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q26_9","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
"GovernanceSurvey.sav",100,"Q26_10","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
"GovernanceSurvey.sav",100,"Q26_11","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q26_12","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Selected Choice Other:","haven_labelled","1=Other:"
"GovernanceSurvey.sav",100,"Q26_12_TEXT","If you had a concern
about a policy at your local school board, who would you approach to discuss
the issue? (check all that apply). - Other:  - Text","character",""
"GovernanceSurvey.sav",100,"Q27_1","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q27_4","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice Another teacher","haven_labelled","1=Another teacher"
"GovernanceSurvey.sav",100,"Q27_5","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice The school secretary","haven_labelled","1=The school secretary"
"GovernanceSurvey.sav",100,"Q27_6","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q27_7","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q27_8","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q27_9","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
"GovernanceSurvey.sav",100,"Q27_10","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
"GovernanceSurvey.sav",100,"Q27_11","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q27_12","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Selected Choice Other:","haven_labelled","1=Other:"
"GovernanceSurvey.sav",100,"Q27_12_TEXT","If you had a concern
about the curriculum your child was learning, who would you approach to
discuss the issue? (check all that apply). - Other: - Text","character",""
"GovernanceSurvey.sav",100,"Q28_1","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q28_4","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A teacher","haven_labelled","1=A teacher"
"GovernanceSurvey.sav",100,"Q28_5","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A school secretary","haven_labelled","1=A school secretary"
"GovernanceSurvey.sav",100,"Q28_6","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q28_7","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q28_8","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q28_9","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
"GovernanceSurvey.sav",100,"Q28_10","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
