"FileName","SheetName","Dimensions","HeaderPreview","IsMacro","HiddenSheets","Format","LikelyNonTabular","Status"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7j","0 x 1","Figure S7j",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7k","5 x 2","Figure S7k | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7l","5 x 2","Figure S7l | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7m","0 x 1","Figure S7m",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7n","0 x 1","Figure S7n",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S7o","0 x 1","Figure S7o",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8a","0 x 1","Figure S8a",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8b","0 x 1","Figure S8b",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8c","8 x 3","Figure S8c |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8d","8 x 3","Figure S8d |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8e","8 x 3","Figure S8e |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8g","6 x 3","Figure S8g |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8i","67 x 3","Figure S8i |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
