"FileName","id.x","name","type","ndims","natts","dim_coord","active","id.y","units","calendar","_FillValue","NA","long_name","scale_factor","add_offset","missing_value","standard_name","coordinates","axis"
"./data/FileOpen_nc/Averaged_exceedance_TP_p99p0_ERA5.nc",2,"seaExcount","NC_FLOAT",3,0,FALSE,TRUE,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Averaged_exceedance_TP_p99p0_ERA5.nc",3,"seaExceedance","NC_FLOAT",3,0,FALSE,TRUE,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Averaged_exceedance_TP_p99p0_ERA5.nc",4,"Excount","NC_FLOAT",2,0,FALSE,FALSE,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Averaged_exceedance_TP_p99p0_ERA5.nc",5,"Exceedance","NC_FLOAT",2,0,FALSE,FALSE,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",0,"longitude","NC_FLOAT",1,2,TRUE,FALSE,0,"degrees_east",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",0,"longitude","NC_FLOAT",1,2,TRUE,FALSE,1,NA,NA,NA,NA,"longitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",1,"latitude","NC_FLOAT",1,2,TRUE,FALSE,0,"degrees_north",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",1,"latitude","NC_FLOAT",1,2,TRUE,FALSE,1,NA,NA,NA,NA,"latitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",2,"time","NC_INT",1,3,TRUE,FALSE,0,"hours since 1900-01-01 00:00:00.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",2,"time","NC_INT",1,3,TRUE,FALSE,1,NA,NA,NA,NA,"time",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",2,"time","NC_INT",1,3,TRUE,FALSE,2,NA,"gregorian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",3,"z","NC_SHORT",3,7,FALSE,TRUE,0,NA,NA,NA,NA,NA,"0.524733125867883",NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",3,"z","NC_SHORT",3,7,FALSE,TRUE,1,NA,NA,NA,NA,NA,NA,"16288.1580435933",NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",3,"z","NC_SHORT",3,7,FALSE,TRUE,2,NA,NA,"-32767",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",3,"z","NC_SHORT",3,7,FALSE,TRUE,3,NA,NA,NA,NA,NA,NA,NA,"-32767",NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",3,"z","NC_SHORT",3,7,FALSE,TRUE,4,"m**2 s**-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",3,"z","NC_SHORT",3,7,FALSE,TRUE,5,NA,NA,NA,NA,"Geopotential",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/Geopotential_orography.nc",3,"z","NC_SHORT",3,7,FALSE,TRUE,6,NA,NA,NA,NA,NA,NA,NA,NA,"geopotential",NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",0,"latitude","NC_FLOAT",1,3,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",0,"latitude","NC_FLOAT",1,3,TRUE,FALSE,1,"degrees_north",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",0,"latitude","NC_FLOAT",1,3,TRUE,FALSE,2,NA,NA,NA,NA,"latitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",1,"longitude","NC_DOUBLE",1,3,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",1,"longitude","NC_DOUBLE",1,3,TRUE,FALSE,1,"degrees_east",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",1,"longitude","NC_DOUBLE",1,3,TRUE,FALSE,2,NA,NA,NA,NA,"longitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",2,"quantile","NC_DOUBLE",0,1,FALSE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_ERA5.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"quantile",NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG.nc",0,"longitude","NC_DOUBLE",1,1,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG.nc",1,"latitude","NC_FLOAT",1,1,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG.nc",2,"quantile","NC_DOUBLE",0,1,FALSE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"quantile",NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",0,"lon","NC_DOUBLE",1,5,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",0,"lon","NC_DOUBLE",1,5,TRUE,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,"longitude",NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",0,"lon","NC_DOUBLE",1,5,TRUE,FALSE,2,NA,NA,NA,NA,"longitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",0,"lon","NC_DOUBLE",1,5,TRUE,FALSE,3,"degrees_east",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",0,"lon","NC_DOUBLE",1,5,TRUE,FALSE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X"
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",1,"lat","NC_DOUBLE",1,5,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",1,"lat","NC_DOUBLE",1,5,TRUE,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,"latitude",NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",1,"lat","NC_DOUBLE",1,5,TRUE,FALSE,2,NA,NA,NA,NA,"latitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",1,"lat","NC_DOUBLE",1,5,TRUE,FALSE,3,"degrees_north",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",1,"lat","NC_DOUBLE",1,5,TRUE,FALSE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",2,"quantile","NC_DOUBLE",0,1,FALSE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/TPp99p0_2001_2020_IMERG025grid.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"quantile",NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",0,"latitude","NC_FLOAT",1,3,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",0,"latitude","NC_FLOAT",1,3,TRUE,FALSE,1,"degrees_north",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",0,"latitude","NC_FLOAT",1,3,TRUE,FALSE,2,NA,NA,NA,NA,"latitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",1,"longitude","NC_DOUBLE",1,3,TRUE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",1,"longitude","NC_DOUBLE",1,3,TRUE,FALSE,1,"degrees_east",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",1,"longitude","NC_DOUBLE",1,3,TRUE,FALSE,2,NA,NA,NA,NA,"longitude",NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",2,"quantile","NC_DOUBLE",0,1,FALSE,FALSE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,0,NA,NA,"NaN",NA,NA,NA,NA,NA,NA,NA,NA
"./data/FileOpen_nc/WSp99p0_2001_2020_ERA5.nc",3,"p99p0","NC_FLOAT",2,2,FALSE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"quantile",NA
