"FileName","SheetName","Dimensions","IsLikelyNonTabular","HeaderPreview"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8a","0 x 1",TRUE,"Figure S8a"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8b","0 x 1",TRUE,"Figure S8b"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8c","8 x 3",FALSE,"Figure S8c |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8d","8 x 3",FALSE,"Figure S8d |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8e","8 x 3",FALSE,"Figure S8e |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8g","6 x 3",FALSE,"Figure S8g |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8i","67 x 3",FALSE,"Figure S8i |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8j","67 x 3",FALSE,"Figure S8j |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8l","8 x 3",FALSE,"Figure S8l |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8m","8 x 3",FALSE,"Figure S8m |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8n","0 x 1",TRUE,"Figure S8n"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8o","8 x 3",FALSE,"Figure S8o |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S8p","15 x 18",FALSE,"Figure S8p |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S9a","0 x 1",TRUE,"Figure S9a"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S9b","7 x 2",FALSE,"Figure S9b | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S9d","0 x 1",TRUE,"Figure S9d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S9e","0 x 1",TRUE,"Figure S9e"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S9f","5 x 2",FALSE,"Figure S9f | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S10b","0 x 1",TRUE,"Figure S10b"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S10c","0 x 1",TRUE,"Figure S10c"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S10d","0 x 1",TRUE,"Figure S10d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S10e","5 x 2",FALSE,"Figure S10e | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S10f","0 x 1",TRUE,"Figure S10f"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S11b","5 x 2",FALSE,"Figure S11b | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S11c","5 x 2",FALSE,"Figure S11c | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S11d","0 x 1",TRUE,"Figure S11d"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S11e","8 x 8",FALSE,"Figure S11e |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S11f","8 x 8",FALSE,"Figure S11f |  |  |  |  |  |  | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S11g","8 x 2",FALSE,"Figure S11g | "
"41467_2025_65141_MOESM4_ESM.xlsx","Figure S11i","7 x 2",FALSE,"Figure S11i | "
