FileName,FileType,Syntax_Check,Packages,AbsPathsFound,Other_Risks,Potential_Secrets,Status
Inspect_sqlite_Notebook.qmd,qmd,Error: ./Inspect_sqlite_Notebook.qmd:17:1: unexpected '^' 16:  17: **     ^,"DBI, DT, RSQLite, rstudioapi, tidyverse",0,,0,Success
Inspect_Text_Notebook.qmd,qmd,Error: ./Inspect_Text_Notebook.qmd:18:6: unexpected symbol 17:  18: Text files          ^,"purrr, readr, rstudioapi, stringr, tidyverse",1,,0,Success
Inspect_Tiff_Notebook.qmd,qmd,Error: ./Inspect_Tiff_Notebook.qmd:18:11: unexpected symbol 17:  18: The **Tag Image               ^,"magick, rstudioapi, stringr, tidyverse, tiff",1,,0,Success
Inspect_xlsx_Notebook.qmd,qmd,Error: ./Inspect_xlsx_Notebook.qmd:18:7: unexpected symbol 17:  18: Excel files           ^,"readxl, rstudioapi, tidyverse, tidyxl",2,,0,Success
Inspect_xml_Notebook.qmd,qmd,Error: ./Inspect_xml_Notebook.qmd:18:17: unexpected symbol 17:  18: XML (Extensible Markup                     ^,"purrr, rstudioapi, tidyverse, xml2",1,,0,Success
preface.qmd,qmd,Error: ./preface.qmd:3:6: unexpected symbol 2:  3: This resource         ^,,0,,0,Success
frdr_filename_check.R,R,Error: '\s' is an unrecognized escape in character string (<input>:22:42),,0,,0,Success
validate_schema.R,R,Valid,"dplyr, jsonlite, stats, tibble, tidyr",0,,0,Success
helpers.R,R,Valid,"dplyr, fs, glue, jsonlite, purrr, stringr, tibble",0,Source File,0,Success
Check_CSVs.R,R,Valid,tidyverse,0,,0,Success
Check_images.R,R,Valid,"exiftoolr, magick, tidyverse",0,,0,Success
Check_netCDF.R,R,Valid,"dplyr, tidync, tidyr",0,,0,Success
FileExtensionGen.R,R,Valid,tidyverse,0,,0,Success
Inspect_Code_Script.R,R,Valid,"purrr, readr, rstudioapi, tidyverse, tools",3,,0,Success
Inspect_Containers_Script.R,R,Valid,"archive, fs, tidyverse",0,,0,Success
